"jobtitle","officelocation","seniority","employer","salary","bonus","hours","digitalstrategy","technicalseo","content","linkbuilding","paidsearch","analytics","weddesign","city","Region"
"SEO manager","UK","Manager","Agency",28000,2800,"35",2,5,3,4,4,4,1,"brighton","South East"
"SEO Manager","UK","Manager","Agency",18500,0,"40",3,3,3,3,3,3,3,"exeter","South West"
"Head of Strategy","UK","Director/Head of Department","Agency",42000,0,"40",5,3,5,5,4,4,3,"brighton","South East"
"SEO Analyst","UK","Junior","In-house Brand",26000,2000,"37.5",4,4,1,2,1,4,1,"bath","South West"
"Head of Digital Marketing","UK","Director/Head of Department","Agency",30000,0,"42.5",5,5,5,5,5,5,2,"cambridge","Eastern"
"SEO Manager","UK","Manager","Agency",25000,0,"40",3,4,4,3,1,2,1,"glasgow","Scotland"
"Content Strategist","UK","Manager","Agency",32000,2800,"42.5",5,2,5,3,1,3,1,"london","London"
"Content Editor","UK","Junior","In-house Brand",27000,0,"35",3,2,5,2,1,3,2,"norwich","Eastern"
"Digital Marketing Executive","UK","Junior","Agency",17000,NA,"36.5",4,2,5,2,3,4,1,"brighton","South East"
"SEO, Content  executive","UK","Junior","In-house Brand",27000,1700,"0",5,2,5,5,1,4,1,"northwich","North West"
"Marketing Executive","UK","Junior","In-house Brand",1800,1000,"40",4,4,4,2,5,5,2,"exeter","South West"
"Marketing Team Leader","UK","Manager","Agency",25000,500,"40",4,3,2,4,4,4,2,"birmingham","West Midlands"
"Senior SEO Executive","UK","Director/Head of Department","In-house Brand",30800,NA,"40",5,5,3,3,1,5,1,"birmingham","West Midlands"
"SEO Analyst","UK","Manager","Agency",24000,NA,"40",3,5,4,3,1,4,2,"london","London"
"Data & Insights Manager","UK","Manager","In-house Brand",40000,NA,"40",3,4,3,4,3,5,3,"cambridge","Eastern"
"SEO strategist","UK","Manager","Agency",45000,1000,"50",5,4,4,4,4,4,2,"edinburgh","Scotland"
"Head of SEO","UK","Manager","In-house Brand",45000,0,"40",5,4,4,4,1,3,3,"chelmsford","Eastern"
"Organic Digital Strategist","UK","Junior","Agency",27500,0,"40",5,4,3,4,1,4,2,"exeter","South West"
"Online Marketing Manager","UK","Manager","In-house Brand",31500,1500,"42.5",4,3,4,2,3,4,4,"sheffield","Yorkshire and The Humber"
"Head of Marketing","UK","Director/Head of Department","In-house Brand",76500,0,"50",5,4,4,5,3,5,3,"liverpool","North West"
"Senior Digital Marketing Executive","UK","Manager","In-house Brand",33000,NA,"37.5",4,4,2,2,4,4,2,"brighton","South East"
"Digital Marketing Executive","UK","Junior","Agency",21500,100,"37.5",2,1,2,1,5,3,2,"london","London"
"Senior SEO Executive","UK","Junior","Agency",28500,0,"40",3,4,5,2,2,4,3,"london","London"
"Digital Account Executive ","UK","Junior","Agency",18000,0,"37.5",4,4,3,2,3,5,2,"cambridge ","Eastern"
"SEO Specialist","UK","Junior","Agency",22000,1000,"37.5",4,3,5,2,2,3,3,"york","Yorkshire and The Humber"
"Digital Marketing Manager","UK","Manager","In-house Brand",32000,NA,"37",4,4,5,5,4,5,4,"brighton & hove","South East"
"Online Advertising & Search Coordinator","UK","Manager","In-house Brand",32000,1000,"37.5",5,5,1,2,5,5,1,"chester","North West"
"Director","UK","Business Owner","Agency",8100,NA,"45",4,3,2,2,4,4,2,"ashford","South East"
"Digital Marketing Manager","UK","Manager","Agency",40000,0,"40",5,5,5,5,2,4,2,"nottingham","East Midlands"
"SEO Director","UK","Director/Head of Department","Agency",60000,0,"50",2,1,3,5,2,1,1,"dudley","West Midlands"
"Senior Content Marketing Executive","UK","Junior","Agency",25000,0,"40",4,4,5,2,1,4,3,"",""
"Head of Digital & Consumer Marketing","UK","Director/Head of Department","In-house Brand",50000,8400,"45",5,4,4,3,3,4,3,"birmingham","West Midlands"
"Head of Strategy","UK","Director/Head of Department","Agency",41000,0,"40",5,2,4,4,3,4,2,"norwich","East Midlands"
"Digital Marketing Specialist","UK","Junior","In-house Brand",20000,0,"35",3,3,3,3,3,3,4,"brighton","South East"
"Digital Performance Manager","UK","Manager","In-house Brand",50000,NA,"50",5,4,4,3,5,5,4,"canterbury","South East"
